                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3028,                 6.6332,                 3.0534,                      0,                      0,                      0,                      0,                 3.1126,                 6.7447,                 3.0409,               0.067289,             0.00033041,             0.00033041
                      1,                  1.979,                 1.5696,                 1.9989,                0.89287,                0.45738,                0.71542,                0.37661,                 1.8473,                 2.6793,                 2.0145,               0.034288,             0.00066273,             0.00066273
                      2,                 1.4029,                 1.0541,                 1.4906,                0.70166,                0.56938,                0.60527,                0.34919,                 1.5111,                 1.9689,                 1.6839,              0.0012834,               0.000991,               0.000991
                      3,                 1.1116,                0.78825,                 1.2461,                 0.9269,                0.82451,                0.90984,                0.62396,                 1.1657,                0.91634,                 1.4051,             0.00098632,             0.00098632,             0.00098632
                      4,                0.96887,                0.65842,                 1.1417,                0.91202,                0.84258,                0.91279,                0.63556,                 1.1548,                0.91959,                 1.3708,             0.00098632,             0.00098632,             0.00098632
                      5,                0.86563,                0.57228,                 1.0822,                0.94352,                0.87338,                  0.926,                0.68027,                 1.0282,                0.76979,                 1.3236,             0.00097577,             0.00097577,             0.00097577
                      6,                0.79101,                0.52848,                 1.0477,                0.93623,                0.82865,                    0.9,                0.65743,                 1.0206,                0.83802,                 1.2985,             0.00096232,             0.00096232,             0.00096232
                      7,                0.74926,                0.49865,                  1.019,                0.96002,                0.88664,                0.96011,                0.73153,                 0.9275,                0.62519,                 1.2177,             0.00094605,             0.00094605,             0.00094605
                      8,                0.68609,                0.45769,                0.98389,                0.95676,                0.86528,                0.93559,                0.72054,                 0.9077,                0.69707,                 1.1967,             0.00092706,             0.00092706,             0.00092706
                      9,                0.65504,                0.43158,                0.96783,                0.95577,                0.92088,                0.96432,                0.74824,                0.87839,                0.52772,                 1.1904,             0.00090546,             0.00090546,             0.00090546
                     10,                0.63945,                0.42727,                0.96169,                0.97721,                0.92091,                0.97515,                0.75845,                0.85649,                0.51395,                 1.1668,              0.0008814,              0.0008814,              0.0008814
                     11,                0.62646,                0.41627,                0.94863,                0.95958,                0.90817,                0.95726,                0.75564,                0.86781,                0.56826,                 1.1701,             0.00085502,             0.00085502,             0.00085502
                     12,                0.59531,                0.39188,                0.94084,                0.96772,                0.90875,                0.95846,                0.76153,                0.81291,                0.53755,                 1.1345,             0.00082648,             0.00082648,             0.00082648
                     13,                0.56502,                0.37888,                0.93132,                0.96811,                0.90641,                0.96494,                0.77265,                0.79694,                 0.5141,                 1.1292,             0.00079595,             0.00079595,             0.00079595
                     14,                0.56533,                0.37556,                0.92902,                0.97494,                0.94025,                0.97569,                 0.7925,                0.77631,                0.46266,                 1.1121,             0.00076364,             0.00076364,             0.00076364
                     15,                0.54348,                0.36372,                0.91968,                0.96571,                0.93849,                0.97647,                0.78352,                0.77584,                 0.4626,                 1.1165,             0.00072973,             0.00072973,             0.00072973
                     16,                0.52645,                0.35069,                0.90613,                0.96923,                0.92725,                0.96926,                0.77234,                0.81012,                0.51737,                 1.1334,             0.00069443,             0.00069443,             0.00069443
                     17,                0.50448,                0.33938,                0.89976,                0.96695,                0.92568,                 0.9706,                0.79006,                0.76724,                 0.4574,                 1.0985,             0.00065796,             0.00065796,             0.00065796
                     18,                0.50505,                0.33952,                0.89719,                0.96505,                0.92216,                  0.968,                0.79021,                0.76423,                0.49629,                 1.0972,             0.00062056,             0.00062056,             0.00062056
                     19,                0.48537,                0.32162,                0.89251,                0.96941,                0.91894,                0.97253,                0.79233,                0.77433,                0.48251,                 1.1141,             0.00058244,             0.00058244,             0.00058244
                     20,                0.47209,                0.31729,                0.88448,                0.97743,                0.92487,                 0.9721,                0.80057,                0.73359,                0.45114,                 1.0741,             0.00054384,             0.00054384,             0.00054384
                     21,                0.46778,                0.31872,                0.87877,                0.97514,                0.93059,                0.97725,                0.80574,                0.74074,                0.42786,                 1.0823,               0.000505,               0.000505,               0.000505
                     22,                0.45812,                0.30833,                0.88348,                 0.9788,                0.93332,                0.97737,                0.79323,                0.76196,                0.43371,                 1.0988,             0.00046616,             0.00046616,             0.00046616
                     23,                0.44393,                0.30103,                0.87429,                0.96792,                0.94119,                0.97986,                0.80737,                0.74814,                0.41999,                 1.0796,             0.00042756,             0.00042756,             0.00042756
                     24,                0.43695,                 0.2918,                0.87217,                0.98194,                0.93717,                 0.9817,                0.81955,                0.71704,                 0.3999,                 1.0722,             0.00038944,             0.00038944,             0.00038944
                     25,                0.42655,                0.28414,                0.86498,                0.98128,                0.94426,                0.98192,                 0.8205,                0.71475,                0.39974,                  1.069,             0.00035204,             0.00035204,             0.00035204
                     26,                0.41409,                0.28154,                0.86109,                0.97014,                0.95211,                0.98399,                0.82524,                0.70515,                0.39166,                 1.0582,             0.00031557,             0.00031557,             0.00031557
                     27,                0.40379,                0.27429,                0.86028,                0.98183,                0.94984,                 0.9889,                0.83011,                0.69763,                 0.3654,                  1.055,             0.00028027,             0.00028027,             0.00028027
                     28,                0.39129,                0.26315,                 0.8537,                0.97729,                0.94554,                0.98273,                0.82015,                0.71328,                0.38036,                 1.0659,             0.00024636,             0.00024636,             0.00024636
                     29,                 0.3833,                0.26127,                0.85513,                0.97039,                 0.9587,                0.98554,                0.83119,                0.69894,                0.39278,                 1.0547,             0.00021405,             0.00021405,             0.00021405
                     30,                0.33629,                0.22737,                0.81976,                0.97649,                0.94464,                0.97932,                0.81986,                0.70194,                0.38876,                 1.0577,             0.00018352,             0.00018352,             0.00018352
                     31,                0.32932,                 0.2242,                0.81462,                0.98225,                0.93322,                 0.9765,                0.81791,                 0.6973,                0.38541,                 1.0583,             0.00015498,             0.00015498,             0.00015498
                     32,                0.31846,                  0.217,                0.81336,                0.98022,                0.94552,                0.98348,                0.83433,                0.69001,                0.38526,                 1.0468,              0.0001286,              0.0001286,              0.0001286
