                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1167,                 3.6652,                  5.816,                 2.8115,                 0.0776,                0.14719,                0.06217,                 0.0186,                0.11628,                0.22056,                 0.1105,                0.05007,                  2.985,                 4.3377,                 5.5191,                 2.7029,               0.067219,             0.00033113,             0.00033113
                      1,                 1.6499,                 1.6046,                 1.3028,                 1.6031,                0.70695,                0.63488,                0.68363,                0.36645,                0.68814,                 0.6116,                0.64993,                0.34692,                 1.6682,                 2.2116,                 1.7778,                 1.6458,               0.034218,             0.00066345,             0.00066345
                      2,                 1.2187,                  1.273,                0.92492,                 1.2505,                0.83503,                0.66081,                0.77558,                0.51268,                0.82003,                0.64895,                0.75015,                0.47634,                 1.3429,                 2.0564,                  1.672,                 1.4297,              0.0012125,             0.00099171,             0.00099171
                      3,                0.98221,                  1.029,                 0.7083,                 1.0811,                0.94132,                0.86292,                0.92984,                0.64073,                0.92999,                0.85791,                0.90959,                0.56762,                 1.1387,                 1.7733,                0.88713,                 1.2341,             0.00098632,             0.00098632,             0.00098632
                      4,                0.85605,                0.96082,                0.60878,                 1.0086,                0.95343,                0.84578,                0.91977,                0.68221,                 0.9357,                0.83755,                 0.8978,                0.60237,                 1.0122,                 1.6151,                0.79556,                 1.1615,             0.00098632,             0.00098632,             0.00098632
                      5,                 0.7636,                0.88469,                0.52548,                0.96971,                0.93829,                0.84175,                0.92431,                0.70559,                0.92654,                 0.8312,                0.90847,                0.61113,                 0.9308,                 1.6789,                0.80006,                 1.1327,             0.00097577,             0.00097577,             0.00097577
                      6,                 0.7108,                0.83457,                0.47916,                0.94909,                0.95035,                0.88093,                0.94107,                0.72184,                0.94588,                0.86775,                0.92658,                0.64666,                0.92774,                 1.6541,                0.69863,                 1.1259,             0.00096232,             0.00096232,             0.00096232
                      7,                0.67476,                0.83362,                0.46277,                0.93131,                0.96885,                0.90554,                0.96555,                 0.7425,                0.95553,                 0.8969,                0.94078,                0.64965,                0.87561,                 1.7237,                0.56238,                 1.0968,             0.00094605,             0.00094605,             0.00094605
                      8,                0.63616,                0.77342,                0.43459,                0.91493,                0.95692,                  0.849,                 0.9277,                0.71304,                0.94727,                0.83743,                0.90479,                0.60424,                0.87872,                 1.6855,                0.70257,                 1.0861,             0.00092706,             0.00092706,             0.00092706
                      9,                0.59005,                 0.7534,                0.41251,                0.89605,                 0.9527,                0.82996,                0.92723,                0.74499,                0.94949,                0.82469,                0.91648,                0.63772,                0.87025,                 1.8699,                0.84792,                 1.0898,             0.00090546,             0.00090546,             0.00090546
                     10,                0.57866,                0.73612,                0.40535,                0.89231,                0.96529,                0.88884,                0.95234,                  0.775,                0.95114,                0.87917,                0.93471,                0.67861,                0.81497,                 1.5288,                0.65104,                  1.039,              0.0008814,              0.0008814,              0.0008814
                     11,                0.55443,                0.71619,                0.38748,                0.88372,                0.97164,                0.91872,                0.96907,                0.78872,                0.96547,                0.90897,                0.95978,                 0.6796,                0.76953,                 1.4853,                0.52174,                 1.0169,             0.00085502,             0.00085502,             0.00085502
                     12,                0.52637,                 0.6855,                0.36877,                0.87204,                0.96604,                0.93629,                0.97432,                0.78353,                0.95482,                0.92531,                0.95395,                0.66951,                0.78126,                 1.7217,                0.47751,                 1.0241,             0.00082648,             0.00082648,             0.00082648
                     13,                0.51028,                0.67042,                0.35673,                0.86727,                0.95956,                0.92785,                0.96563,                0.78032,                0.95007,                0.91972,                0.95314,                0.66545,                0.78463,                 1.7411,                0.47143,                 1.0328,             0.00079595,             0.00079595,             0.00079595
                     14,                0.49889,                0.68815,                0.34814,                 0.8616,                0.95796,                0.89631,                0.94995,                0.77489,                0.94727,                0.88403,                 0.9333,                 0.6642,                0.75646,                 1.5831,                0.55759,                  1.016,             0.00076364,             0.00076364,             0.00076364
                     15,                0.49127,                0.61741,                0.34065,                0.86899,                0.98476,                0.93849,                0.97951,                0.80655,                0.97531,                 0.9297,                0.96617,                0.69172,                  0.754,                 1.7203,                0.42978,                 1.0041,             0.00072973,             0.00072973,             0.00072973
                     16,                0.47314,                0.67257,                 0.3296,                0.85168,                0.97267,                0.91213,                0.96543,                0.80096,                 0.9653,                0.90437,                0.95241,                0.69225,                0.73671,                 1.6441,                0.48922,                0.99354,             0.00069443,             0.00069443,             0.00069443
                     17,                0.45726,                0.63695,                0.32524,                0.84376,                0.96762,                0.91908,                0.96837,                0.78761,                 0.9579,                0.90972,                0.95394,                0.67083,                0.75949,                 1.7891,                0.48899,                 1.0127,             0.00065796,             0.00065796,             0.00065796
                     18,                0.44832,                0.62023,                 0.3188,                0.84312,                0.98141,                 0.9276,                0.97477,                0.81244,                0.97305,                 0.9196,                 0.9635,                0.70525,                0.73658,                 1.7852,                0.44519,                0.99912,             0.00062056,             0.00062056,             0.00062056
                     19,                0.43189,                 0.6122,                0.31248,                0.84366,                0.96803,                0.93139,                0.97001,                0.80632,                0.97113,                0.91647,                0.95713,                 0.6938,                0.72664,                  1.708,                0.45745,                 0.9949,             0.00058244,             0.00058244,             0.00058244
                     20,                0.42395,                0.58943,                0.30089,                0.83819,                0.97469,                0.91378,                0.96827,                0.81784,                0.96731,                0.90685,                0.95859,                0.71094,                 0.7094,                 1.5894,                0.49224,                0.98837,             0.00054384,             0.00054384,             0.00054384
                     21,                0.41703,                0.59348,                 0.2988,                0.83278,                0.97934,                0.93629,                0.97359,                0.81654,                0.97093,                0.92794,                0.95993,                0.70119,                0.70467,                  1.677,                0.42214,                0.98974,               0.000505,               0.000505,               0.000505
                     22,                0.40925,                0.60527,                0.29135,                0.83213,                0.96416,                 0.9275,                0.97234,                0.82514,                 0.9581,                 0.9196,                0.96134,                0.70921,                0.69081,                 1.6658,                 0.4772,                0.97128,             0.00046616,             0.00046616,             0.00046616
                     23,                0.39006,                0.58554,                0.27872,                0.83196,                0.97025,                0.95343,                0.98468,                0.82253,                0.96153,                0.94444,                0.97205,                0.70827,                0.70639,                 1.6564,                0.39574,                0.98601,             0.00042756,             0.00042756,             0.00042756
                     24,                0.38573,                0.55106,                0.27782,                0.82553,                0.97668,                0.93867,                0.97553,                0.82519,                0.96983,                0.93214,                0.96511,                0.70876,                0.69941,                 1.7292,                0.40624,                0.98706,             0.00038944,             0.00038944,             0.00038944
                     25,                0.37846,                0.54969,                0.27416,                0.82543,                0.97308,                0.93689,                0.97672,                0.82688,                0.96841,                0.92935,                0.96506,                0.71554,                0.69379,                 1.6213,                0.41232,                0.97491,             0.00035204,             0.00035204,             0.00035204
                     26,                0.37259,                0.55332,                0.27157,                0.82606,                0.97123,                0.93445,                0.97321,                0.82174,                0.96889,                 0.9168,                0.96164,                0.71023,                0.69042,                 1.6639,                0.41557,                0.97796,             0.00031557,             0.00031557,             0.00031557
                     27,                0.35586,                 0.5479,                0.25813,                0.82055,                0.97634,                0.92465,                0.97255,                0.82399,                0.96624,                0.91794,                0.96034,                0.71036,                0.68839,                 1.7924,                0.42891,                0.97433,             0.00028027,             0.00028027,             0.00028027
                     28,                0.34897,                0.53464,                 0.2552,                0.81622,                0.96953,                0.94332,                0.97697,                0.83052,                0.96233,                0.93159,                0.96507,                0.71541,                0.68468,                  1.824,                0.41652,                0.97546,             0.00024636,             0.00024636,             0.00024636
                     29,                0.34551,                0.51615,                0.25223,                0.81865,                0.97943,                0.92311,                0.97446,                0.82482,                0.96418,                 0.9174,                0.96303,                0.70912,                0.69514,                 1.8229,                0.45443,                0.97391,             0.00021405,             0.00021405,             0.00021405
                     30,                 0.3127,                0.55373,                0.22727,                0.79512,                0.97528,                0.93673,                0.97161,                0.81841,                0.96713,                0.92794,                0.96078,                0.70136,                0.68978,                 1.7926,                0.42787,                0.97272,             0.00018352,             0.00018352,             0.00018352
                     31,                0.29908,                 0.5323,                0.22132,                0.79646,                0.97786,                0.93153,                0.97596,                0.83547,                0.96904,                0.92144,                0.96449,                0.71943,                0.68777,                 1.8709,                0.42788,                0.97453,             0.00015498,             0.00015498,             0.00015498
                     32,                0.29411,                 0.4964,                0.21818,                0.80107,                0.97697,                0.94552,                0.98392,                0.83905,                0.96789,                0.93673,                0.97144,                 0.7209,                0.67589,                 1.8924,                0.40126,                0.96705,              0.0001286,              0.0001286,              0.0001286
                     33,                0.28978,                0.51277,                0.21236,                0.79948,                0.97972,                0.93629,                0.97816,                0.84102,                0.97071,                0.93014,                0.96867,                0.72415,                0.66587,                 1.8657,                 0.4136,                0.95654,             0.00010454,             0.00010454,             0.00010454
                     34,                0.28215,                0.52439,                 0.2089,                 0.7955,                0.97589,                0.94772,                0.98046,                0.84458,                 0.9658,                0.93981,                 0.9702,                0.73043,                0.67067,                 1.8921,                0.40388,                 0.9647,             8.2943e-05,             8.2943e-05,             8.2943e-05
                     35,                0.26949,                0.48838,                0.20195,                0.79122,                0.97945,                 0.9442,                0.98023,                0.84829,                0.97607,                0.93204,                0.97102,                0.73306,                0.66458,                 1.8998,                0.40414,                0.95841,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     36,                0.26183,                0.47127,                0.19913,                0.79536,                0.98526,                0.93961,                0.98086,                0.84611,                0.97713,                0.93234,                 0.9701,                0.72962,                0.66619,                 1.9269,                0.39719,                0.95581,              4.768e-05,              4.768e-05,              4.768e-05
                     37,                0.26425,                0.48944,                0.19628,                0.79149,                0.97586,                0.94947,                0.98312,                 0.8489,                0.97071,                0.93981,                0.97293,                0.73413,                0.66705,                 1.9723,                0.39873,                 0.9596,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     38,                0.26749,                0.47814,                0.19748,                0.79112,                0.98552,                0.93981,                0.98139,                0.85011,                0.97769,                0.93234,                0.97179,                0.73576,                0.66336,                  1.976,                0.40019,                0.96042,             2.3677e-05,             2.3677e-05,             2.3677e-05
                     39,                0.25882,                0.50327,                0.19598,                0.78839,                0.97871,                0.94464,                0.98177,                0.85031,                0.97052,                0.93673,                0.97214,                0.73486,                0.66485,                 1.9722,                0.40806,                0.95805,             1.6094e-05,             1.6094e-05,             1.6094e-05
